2 1 63 95
414436 128843
896514 785631
1 2
825186 549719
340911 939115
935698 659209
580745 17870
324272 107291
883129 294995
816822 933755
508953 166906
219745 158435
526210 753387
493484 655905
126758 953653
880779 815024
52275 460577
29465 114079
118639 834152
132905 171840
686613 163967
104640 877790
437372 943162
224884 274907
154706 541670
475952 67619
204741 651925
535453 776153
771283 595931
309335 731472
544453 910096
381345 609570
57011 626825
703797 34571
481604 227370
793153 441462
701815 765420
821420 949434
390241 598376
716944 537334
584282 627923
614932 41457
823225 636097
271153 621830
480932 794761
719229 227124
887424 881930
340952 217714
906557 692523
6400 237816
581286 549466
40637 99757
812152 404194
86970 799796
970888 430475
413092 998313
916096 864591
394459 642052
382134 343383
766976 756791
300686 771250
416725 678026
183269 500372
313823 344392
272346 269091
155128 333491
3 2 1
2 2 1
2 1 0
3 2 1
3 1 1
2 1 1
1 1 0
2 1 0
3 1 1
2 1 1
3 2 0
1 1 0
2 2 0
3 2 0
2 1 1
3 2 0
2 2 0
1 1 1
3 1 1
3 2 1
3 2 1
2 2 0
2 2 1
2 1 1
2 2 0
2 2 1
1 2 1
2 2 0
2 1 0
2 1 1
3 2 1
3 1 0
3 1 1
1 2 1
1 2 1
3 1 0
2 2 1
2 2 1
3 2 0
3 1 0
2 1 0
2 2 0
3 1 1
2 1 0
1 1 1
3 1 0
3 1 1
3 1 1
1 2 0
2 1 0
2 2 1
2 1 0
3 1 0
1 1 0
2 1 1
1 2 1
2 1 1
1 2 1
1 1 0
2 2 1
1 1 1
3 1 0
1 1 1
2 2 0
3 1 1
1 1 1
3 2 0
3 2 1
1 2 1
2 1 0
2 1 0
1 2 0
2 1 0
2 2 0
2 1 1
2 2 0
2 2 1
1 2 1
2 1 1
2 2 0
1 2 1
2 2 0
2 1 0
1 2 0
1 2 0
2 1 0
1 2 1
1 1 0
1 1 0
3 2 0
3 1 1
3 1 1
1 2 1
2 1 1
2 1 1
